-58.568, 66.106, 100
-56.798, 65.175, 100
-55.028, 64.244, 100
-53.258, 63.313, 100
-51.488, 62.382, 100
-49.718, 61.451, 100
-47.948, 60.52, 100
-46.178, 59.589, 100
-44.408, 58.658, 100
-42.637, 57.727, 100
-40.867, 56.796, 100
-39.097, 55.865, 100
-37.327, 54.934, 97.509
-35.557, 54.003, 94.869
-33.787, 53.072, 92.152
-32.017, 52.141, 89.354
-30.247, 51.21, 86.464
-28.476, 50.279, 83.475
-26.706, 49.348, 80.375
-24.936, 48.418, 77.15
-24.583, 46.591, 74.024
-24.502, 44.593, 70.509
-24.42, 42.594, 66.81
-24.339, 40.596, 62.893
-24.258, 38.598, 58.716
-24.177, 36.599, 54.217
-24.098, 34.601, 49.31
-24.022, 32.602, 43.858
-23.979, 30.603, 37.624
-23.933, 28.603, 30.126
-23.924, 26.605, 20
-24.797, 27.337, 66.732
-25.222, 29.29, 84.404
-25.423, 31.279, 85.018
-25.435, 33.278, 82.624
-25.245, 35.268, 79.492
-24.824, 37.221, 76.232
-24.137, 39.098, 72.827
-23.147, 40.833, 69.257
-21.842, 42.344, 67.111
-20.254, 43.551, 68.885
-18.459, 44.423, 74.233
-16.544, 44.989, 80.831
-14.562, 45.246, 83.904
-12.564, 45.292, 86.629
-10.569, 45.159, 88.963
-8.59, 44.877, 90.915
-6.631, 44.475, 92.523
-4.696, 43.975, 93.835
-3.133, 43.228, 94.202
-3.778, 41.335, 93.64
-4.493, 39.467, 93.082
-5.283, 37.63, 92.547
-6.158, 35.832, 91.639
-7.129, 34.084, 91.313
-8.184, 32.385, 91.103
-9.342, 30.755, 91.088
-10.583, 29.187, 91.298
-11.915, 27.696, 92.125
-13.316, 26.269, 93.384
-14.787, 24.913, 94.118
-16.305, 23.612, 95.677
-17.866, 22.362, 95.075
-19.456, 21.149, 92.365
-21.067, 19.964, 89.573
-22.69, 18.794, 86.69
-24.319, 17.634, 83.709
-25.947, 16.473, 80.618
-27.571, 15.306, 77.403
-29.186, 14.125, 74.049
-30.788, 12.929, 70.535
